lead_id,name,email,phone,cpf,cnpj,street,number,city,state,cep,lat,lon,system_size_kWp,annual_production_kWh,coverage_pct,payback_years,estimated_cost_brl,created_at
L000001,Pessoa L000001,pessoal000001@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:14.818Z
L000002,Pessoa L000002,pessoal000002@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:14.941Z
L000003,Pessoa L000003,pessoal000003@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:14.960Z
L000004,Pessoa L000004,pessoal000004@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:14.976Z
L000005,Pessoa L000005,pessoal000005@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:14.995Z
L000006,Pessoa L000006,pessoal000006@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.010Z
L000007,Pessoa L000007,pessoal000007@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.021Z
L000008,Pessoa L000008,pessoal000008@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.037Z
L000009,Pessoa L000009,pessoal000009@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.050Z
L000010,Pessoa L000010,pessoal000010@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.062Z
L000011,Pessoa L000011,pessoal000011@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.075Z
L000012,Pessoa L000012,pessoal000012@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.086Z
L000013,Pessoa L000013,pessoal000013@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.095Z
L000014,Pessoa L000014,pessoal000014@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.107Z
L000015,Pessoa L000015,pessoal000015@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.123Z
L000016,Pessoa L000016,pessoal000016@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.133Z
L000017,Pessoa L000017,pessoal000017@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.142Z
L000018,Pessoa L000018,pessoal000018@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.155Z
L000019,Pessoa L000019,pessoal000019@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.164Z
L000020,Pessoa L000020,pessoal000020@example.com,(31) 33333-3333,333.333.333-33,,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.172Z
L000021,Empresa L000021,empresal000021@example.com,(31) 33333-3333,,33.333.333/3333-33,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.184Z
L000022,Empresa L000022,empresal000022@example.com,(31) 33333-3333,,33.333.333/3333-33,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.192Z
L000023,Empresa L000023,empresal000023@example.com,(31) 33333-3333,,33.333.333/3333-33,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.201Z
L000024,Empresa L000024,empresal000024@example.com,(31) 33333-3333,,33.333.333/3333-33,Rua 330,3297,MG City 17,MG,33333-333,-15.109539,-48.406359,5.3,5956,36.4,5.6,36484.1,2025-05-14T15:17:15.209Z
